source,target
5248,19550
5248,80237
1158,1158
1158,1159
1158,1160
1158,3092
134,1158
18269,18269
18269,21200
8349,18269
18269,26466
15762,18269
18269,89042
18269,31162
82702,82702
82702,1227278
82702,2636676
82702,134710
82702,134711
82702,2687948
82702,108881
926,82702
1905,82702
4610,82702
16178,82702
10750,82702
82702,1234966
65605,82702
47775,82702
82702,2426206
82702,2284427
5657,82702
11510,82702
18793,82702
3635,82702
82702,1227700
82702,110001
82702,138986
82702,85564
3149,82702
82702,122750
82702,109897
6352,82702
13301,82702
82702,1201284
82702,140567
20156,82702
4347,82702
4299,82702
37934,82702
15310,82702
45042,82702
82702,553721
82702,1789239
27011,82702
8851,82702
82702,543105
65605,65605
65605,990578
65605,1056814
47775,65605
65605,107375
65605,2712640
65605,65606
65605,87919
47775,47775
47775,87496
47775,2550161
47775,124744
47775,1749029
47775,94759
5723,47775
47775,63522
11695,47775
893,47775
4483,4483
4483,13570
3417,4483
4483,73931
4483,142439
863,4483
4483,7447
4483,9560
4483,21278
4483,13724
4483,9979
4483,9789
4483,6449
707,4483
4483,11850
4483,9274
4483,19803
4483,1084298
13570,13570
3417,13570
3417,3417
3417,12021
349,3417
3417,18248
35,3417
3417,21399
2888,3417
3417,1607523
3417,53923
3417,21278
3417,13724
3092,67773
3092,3092
519,3092
3084,3092
12132,12132
2130,12132
12132,32749
6804,12132
12132,69302
12132,65529
12132,113674
1121,12132
12132,543530
4027,12132
12132,1223867
12132,46348
12132,225863
12132,16896
2130,2130
2130,16431
2130,2203
2130,3026
64,2130
1776,2130
2127,2130
2128,2130
106179,106179
4959,106179
78934,106179
10190,106179
5250,106179
80253,106179
326,106179
106179,1747292
106179,142858
106179,117164
39015,106179
10190,10190
5250,10190
10190,50967
5250,5250
1936,5250
5247,5250
5248,5250
5250,940155
5250,86104
5250,231773
3037,3037
3037,4951
3037,18972
3037,155890
3037,2210813
3037,2879828
4951,4951
1,4951
4951,7879
8487,8487
8487,8490
6838,8487
8487,20156
4347,8487
4299,8487
1032,8487
1150,8487
1776,8487
8490,8490
6838,8490
1158,8490
3092,8490
6838,6838
3203,3203
3203,7862
3203,6804
3203,69302
3203,65529
3203,70899
3203,42626
7862,7862
7447,7862
7862,9560
11367,11367
11367,31028
31028,31028
5375,31028
31028,52646
287,31028
192,31028
12052,31028
3266,3266
3266,26009
3266,1067583
3266,36059
33,3266
3266,5149
3266,10427
2710,3266
2144,3266
141,3266
2505,3266
36059,36059
26466,26466
5606,5606
5606,54693
5606,19492
5606,6944
1179102,1179102
21010,21010
21010,101032
21010,76184
21010,39770
21010,34721
21010,83908
1748,21010
8499,21010
16896,21010
8857,21010
15395,21010
101032,101032
6193,6193
103,6193
2282,6193
6193,24045
3899,6193
31,6193
4690,6193
6193,21007
6193,234352
514,6193
1892,6193
6193,15831
134,6193
6193,27319
6193,9261
6193,449538
6193,13309
6193,1678375
6193,3202303
6193,3202306
31,31
31,32
31,33
31,52
31,5149
31,3197
31,12833
31,12898
31,7167
31,572541
31,1457107
31,4690
31,35219
31,7879
31,4784
24,31
28,31
31,27116
31,9979
31,9261
31,325
31,2585
31,100183
31,13745
31,107602
31,5141
31,5139
31,5140
380,4690
4690,4690
3096,4690
4690,10468
4690,10400
1884,4690
4690,11695
893,4690
4690,8891
2231,4690
139,4690
4690,37934
4690,15310
4690,56322
4690,61110
3248327,3248327
1151688,3248327
3248327,3264883
1151688,1151688
1151688,3264883
3264883,3264883
928944,928944
928944,2022250
9979,928944
2022250,2022250
9979,2022250
9979,9979
9979,56890
9979,46393
9789,9979
6449,9979
9979,1353815
9979,20212
9979,21818
9979,12967
9979,13567
9979,25834
9979,118764
9979,1189209
9979,2993220
9979,3199207
9979,1204293
9979,27116
9979,20959
9979,57829
9979,1066777
9979,65013
4808,9979
7447,9979
9560,9979
1,9979
1776,9979
7879,9979
9979,67315
9979,2734157
9979,2045089
4687,9979
514,514
514,7071
514,518
514,10409
514,10410
514,1892
514,34947
514,1262612
514,21200
514,1487
514,7487
514,1428
1892,1892
1892,2157
880,1892
1892,3894
1892,19498
31,1892
1892,3197
1892,12833
1892,10297
1813,1892
1892,83002
1892,5141
1892,5139
1892,5140
7796,11665
7796,7796
2171,7796
7796,851784
7796,10297
7796,15864
7796,176557
7796,19453
7796,1141310
7796,81316
7796,10767
7796,1366083
7796,11477
380,7796
4517,7796
204,851784
851784,851784
20508,851784
10297,851784
1813,851784
83002,851784
2641,2641
2641,1205143
2641,1205144
2641,92029
2641,218506
2222,2641
2641,44038
2641,160663
2641,9805
2282,2641
2641,24589
2641,24590
2641,11770
515,2641
2641,57905
2641,18589
2641,105270
2638,2641
2639,2641
2091,2641
92029,92029
92029,218506
218506,218506
2098136,2098136
2098136,2098137
2098137,2098137
1,1
1,7879
1,71538
1,553222
1,1021364
1,2231
1,37872
1,8328
1,12898
1,31
1,1032
1,1150
1,2297235
1,491
1,3037
1,3
1,738
1,132305
1,5026
1,11770
1,515
1,1006721
1,4
1,3799
1,130
1,10930
1,2140901
1,33185
1,9789
1,6449
7879,7879
7090,7879
7879,94037
7879,35219
2106,7879
7879,146136
7879,12898
628,7879
608,7879
7879,1186197
7879,110675
2231,7879
7167,7879
2559324,2559324
27888,27888
227,27888
2303,2303
2303,5293
2303,1296936
2303,1310844
2303,1414419
2303,6818
2303,10249
2303,1061561
2303,1018937
5293,5293
5293,86034
5293,32887
1152,5293
5293,5469
5293,1291350
3490,5293
5293,39104
5293,1480608
5293,18514
5293,1136406
5293,505710
5293,71580
5293,32592
5293,1434355
5293,189747
5293,285917
5293,1731598
5293,118415
5293,20715
880,5293
5293,73968
5293,90633
5293,9048
5293,7624
5293,554456
5141,5293
5139,5293
5140,5293
1032,1032
1032,1130441
1032,108650
1032,1150
1032,1130439
1032,1665042
1032,1867
1032,1006721
1032,132305
1032,5026
1032,3037
1032,4951
1032,72861
1032,941022
1032,237532
1032,1052109
1032,1052107
1032,1146050
1032,83198
1032,101377
141,1032
380,1032
1032,1038
13,1032
1032,155890
1032,2210813
1032,2879828
190,1032
1032,14701
1032,6449
1032,9979
1032,9789
1032,4517
1032,14702
1150,1150
1150,11008
1150,1259
1150,19665
134,134
134,27319
134,56323
134,78577
134,135651
134,60073
134,325
134,8851
134,979952
134,1136406
134,505710
134,71580
134,27011
134,543105
134,9309
134,57551
134,5726
134,104779
134,224859
134,540281
1006721,1006721
380,1006721
4517,1006721
14702,1006721
11477,1006721
1038,1006721
13,1006721
14782,14782
190,14782
147,14782
190,190
190,3265
190,4078
190,14276
190,74308
190,74309
190,14701
190,6449
190,448
190,192
147,190
190,3892
190,3095559
190,4385
190,34259
190,5064
190,1150
190,1776
190,19429
190,18897
190,15111
190,4430
190,9979
190,9789
190,20156
190,4347
190,4299
1,190
190,7879
147,147
147,1932312
147,1037
147,3129
147,23920
147,6844
147,68559
147,188707
139,147
140,147
147,2535
147,18269
147,3084
147,59554
147,1591097
147,17397
147,17398
147,1572034
147,2555
147,7218
147,1954
2378014,2378014
2046262,2378014
1381997,2378014
2046262,2046262
1381997,2046262
1381997,1381997
11784,11784
11784,78021
11784,44038
11784,1226789
11784,65344
2231,11784
2047,11784
11770,11784
11784,73040
11784,27993
